Tweet,Affect Dimension
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger
I HATE little girls 😡😡 got a lot off growing up to do!!! ,anger
Stupid people piss me off...busted my ass...and my coworker takes off with all the tips...thnx for nothing  #thatsmyluck,anger
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder",anger
"@EE whats with the 50p a minute charge to 150, insult to injury",anger
@simondawkins23 @Titchlar81 clicked the wrong side was fuming 😭,anger
#BB18 Michelle crying  again #shocking #bitter He's  just not that into you 😢#TeamNicole,anger
"says, who are you to compared me with the others; I'm just human. #lit #fire #burning",anger
@Cardschatter now that the Bills have a new offense of Cordinator do you think it's more difficult for the @AZCardinals to  game plan?,anger
Marcus Rojo is the worst player i have ever seen. Useless toasting burning bastard,anger
I can already tell this programme is going to infuriate me #ExtremeWorld,anger
"This may offend some, but I say u never trust a cop 🚓 of any color, but especially not a white 1(the evidence is clear)! The klan has awoke",anger
sixth form has destroyed my glowing skin im fuming,anger
@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC,anger
@Cass_Pennant @frankbrunoboxer @WestHamUtd @davidgold @MaccaFrank @JonjoHeuerman @WestHamMagazine @CasualMind_ @karren_brady it's an insult.,anger
"If you be #angry, which may be the case, &amp; which may be unavoidable, see that the sudden excitement does not become sin. #AlbertBarnes",anger
Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned. #pout #AdultingIsTheWorst,anger
... flat party and I instantly get bollocked about it. #fuming,anger
@sarahhiggins90 @lokiscottishrap So much animosity towards Loki who is fighting the same battle as you. Surely not the best use of energy.,anger
Brendan Rodgers looks fuming 😭,anger
"the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.  #fatalism",anger
Imagine being bitter when your bias is dating &amp; sending threats to their partner. Like why? That's nasty. And they don't even know you exist,anger
@majesticmata didn't even realise you used that insult it was that shit mate,anger
@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite ,anger
Feel the wrath of my air-dropped pamphlets!,anger
LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick.,anger
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. #furious,anger
Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible #KeithLamontScott,anger
@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! ,anger
@StrongestBeing ←would furrow and her face would redden as she protests; it would seem that being seen as unattractive in Wukong's eyes was→,anger
Making my buddy cry !! Bitch wait for revenge 🤗👌🏻,anger
Not giving a fuck is better than revenge.,anger
@EagleGiles23 @tgilmore_92 what I miss? #outrage,anger
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",anger
jamming out to fury in math class wanting to die hbu,anger
@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,anger
..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,anger
Threat factors in respect to provocation bulb worm: BnQo,anger
@daynutrition @sliqnicq @nytimes I don't listen to White Trash talk about blacks. It's insult. Talk about your race living in trailers,anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger
"@dreamsandpocky Like, despite all my irritation towards ur ship, at least its canon. BuckyNat is canon, (and clintwanda is canon)",anger
@cassidyyy_0 literally Nicole already had her chance and she played shitty both seasons. #bitter,anger
@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome,anger
@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! ,anger
Bloody parking ticket 😒💸 ,anger
@Freepenalties @TMortimerFtbl Doll is a vile creature on the touchline. Every game he has tantrums &amp; shouts at the ref. Would love to see,anger
Indignation: [whispers to date during that terrific Lerman/Letts centerpiece scene] That's his overwhelming sense of indignation.,anger
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ ,anger
Autocorrect changes ''em' to 'me' which I resent greatly,anger
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger
Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger
@LisaAsquithtobe @craig8710 @WayneHaselden @june65wigan everyone is against wigan because we are the biggest club #bitter,anger
"Because it was a perfect illusion, but at least now I know what it was. #angry #ladygaga #iscalming#mysoul",anger
@fireemblemlord it's the first expac since wrath that feels like a proper 'evolution' of the game for me,anger
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,anger
That grudge you're holding keeps making an appearance because #God wants you to deal with it.,anger
Constantly fucking boiling and it's not ok,anger
I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge,anger
I think they may be #offended,anger
I'm just a fuming ball of anger today 🙃,anger
@Nigerianscamsss @TrillSmith you think I came back to twitter and not ruffle a few bushes? Tuh.,anger
Guy across from me in a really ugly suit cannot stop expressing his displeasure,anger
@CBSBigBrother she's pathetic!!! Hated Nicole for being cute &amp; having a showmance &amp; she couldn't get one! #bitter #uglycry #BBMichelle 😖,anger
Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger
Lost Frequencies/Janieck Devy - Reality (Gestort Aber Geil Remix)' is raging at ShoutDRIVE!,anger
I've always had a weird grudge against stingrays ever since one killed Steve Irwin.,anger
I am just so bitter today 😐,anger
Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,anger
Dude go out his way to irritate me🙄🙄 that's why I go out my way to not give up any pussy🙅🏾🅿️,anger
@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,anger
"seek to conduct attacks against Israel, intended to provoke a reaction that would further inflame feeling within the Islamic world”. •",anger
Think I really broke young bull hurt 😂😂😭😭 u can tell by how bitter and mad he is 😊😊😩😩,anger
Goddamn headache. #anger,anger
Who allowed Pereira to start taking all the set pieces? fuming,anger
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,anger
revenge,anger
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,anger
Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠 #angry #Rooney #mufc,anger
kenny - where were you born\nme - washington\nkenny - you fucking liar you were born in the fiery pits of hell,anger
If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman,anger
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger
"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation",anger
@EASPORTS_MUT fix this home/away deptch chart invalid glitch. I have to close madden and re-open it everytime this happens,anger
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH #rage,anger
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine.  ,anger
"Never forget that 5Live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our behaviour",anger
@GrxjicTank WHY though! Why did u want to offend Americans?,anger
@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming,anger
He's seriously so frustrating sometimes! (╯°□°）╯︵ ┻━┻ #ugh #raging,anger
I need some to help with my anger,anger
Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! ,anger
2 days on.......never a fucking pen!!!! #nffc ,anger
@LickMeLucas ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation.,anger
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH ,anger
@lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,anger
I swear if @devincameron23 blocks me I'm going to hit her back #revenge,anger
He's seriously so frustrating sometimes! (╯°□°）╯︵ ┻━┻ #ugh ,anger
"@memorie_holiday @AngryOrchard about 2 wks ago,playing pokemon and not paying attention. Placed my elbow on a rail 3 inches from 4 no sting.",anger
"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. 👋 #fuming",anger
i can't believe they're all messing up my favourite of all bakes i feel personally offended,anger
Fuckin hell even seeing your face makes me fume,anger
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,anger
@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey,anger
"As if he heard my thought on the ether, my #ex has just posted #facebook pic of himself snuggling up with said #cats... now Im just #angry",anger
"me: wow today's such a good day \n*an hour later: burns food, gets sick, spills boiling hot water on myself*\nme: never mind",anger
@TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,anger
"@TheJuanWilliams Where is your indignation and outrage over the UNARMED DEAF WHITE man who was shot and killed by black officer in CLT, NC?",anger
When your sister is 19 and throws legitimate temper tantrums just to get attention..,anger
pressure does burst pipes 😭,anger
The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things.,anger
Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife,anger
@KimLy resent,anger
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger
@lmench i'm actually offended by it.  naming the most fattening sandwich after a man who died of coronary disease likely due to his diet?,anger
@__NETFLIXNCHILL I fuck with madden way harder,anger
new madden 16 video was gonna be up but xbox is being an ahole and not going through 🙄🙄 #struggles,anger
@CorbettBarr @pjrvs @brianclark true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his porch.,anger
@HotpointUK 'customer service ' beyond appalling. Faulty dryer replacement breaks within wks no parts for 3 wks. Engineers no show. #fuming,anger
2 days on.......never a fucking pen!!!! #nffc #bitter,anger
"@SkyNews when the East wind blue in summer in Durban, S Africa, we still surfed and got #stung badly! Must be carefull-A #sting can harm you",anger
#Anger or #wrath is an intense emotional response.,anger
I don't talk about politics because people nowadays get offended easily!,anger
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger
@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,anger
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger
@m_warner21 Yikes. The wrath of Maddie...,anger
@Toucherandrich there was a US diver named steele johnson. i'd like him barred from the olympics. #offended,anger
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address  #poorcustomerservice,anger
@Dominos_UK worst thing is i have confimation from them #angry,anger
"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",anger
not to be That Person™ but i get bitter seeing some ravi stans,anger
I miss doing nothing someone I care about and attacking their face with kisses. #foreveralone #bitter 😩,anger
"So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav #offended",anger
@happyandbashful @Teigngardener @CEVokins @gardengirllucy Don't provoke the Voke.,anger
Every day I think my #house 🏡 is #burning 🔥 but it's always just my neighbor burning their #toast! 😷😡🍞,anger
@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge 🙌🏼🙌🏼,anger
"@Sirenja_ @JaxOfBo (like, hope i didn't offend with my commentary - it wasn't what I was intending!)",anger
@johnmerro1 @Liberobility still bitter about last night lads 😂,anger
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage,anger
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger
Yo there's a kid on my snap chat from LA &amp; they get high off helium gas lmao.... I am like why the fuck lol,anger
@ChurdAllan fucked my coupon that goal! #raging,anger
Height of irritation when a person makes a hilarious chusssss.... Plz die....😬😬,anger
at least 5 ppl have left my stores in a huff in the past year but ive never had anyone call guest service on me yet so,anger
I wanna kill you and destroy you. I want you died and I want her back. #emo #scene #anger #fuck #die #hatered,anger
@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡,anger
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger
straight people are canoodling on the quad and I'm #offended,anger
"@Will_0004 No justification for shooting without provocation, even if the person has a bad history. Justification is not the way to go",anger
@CallofDuty how do u guys determine teams? Cause I'm 80% on shitty teams when I play and I'm fuckin over it #cod ,anger
"I'll happily be rude to people who personally insult me unprovoked, they deserve it 👍 Just as good people deserve respect",anger
"Absolutely raging at the changes to CAS, what a joke",anger
White people irritate me.,anger
My mind is raging and i just want to end it all,anger
India should now react to the uri attack..... ,anger
@ZubairSabirPTI  pls dont insult the word 'Molna',anger
"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger
@clppng #offended the tonys have found a way to leave me out and now y'all have too,anger
I can't have a dog in my flat! Literally no reason either! Sorry potential doggie! #landlords #doglover #sad #angry #rescuedog #dog ;_;,anger
@Idubbbz @LeafyIsHere  I am offended,anger
don't provoke me after letting me down !,anger
Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger
i used to think the fire detector going off at my old place when boiling water was bad but this one went off bc of DUST and wouldnt turn off,anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger
I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different. 😑,anger
@louiseannexx u fucked my house up I'll always hold a grudge,anger
"LGBTQ media should inform, inspire, entertain &amp;unite our community. It shouldn't give platform 2 those whose goal is 2 offend us 4 attention",anger
Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating. #rage #smrtruinslives,anger
@djddueces jojo at 12:30 and not midnight lets rage WRYYYYYY,anger
Bloods boiling,anger
@Mysbananen yes hc and we got him very low. I know how it feels. Our damage is low enough as it is never mind having the rng of being enrage,anger
@Deadspin @Rlblack1Rob My guess is he's just a convenient target for misplaced anger.  What they're really mad at is how they played.,anger
Still can't log into my fucking Snapchat#Snapchat #snap,anger
"A little nose irritation and a little more chills on my body. I'm so not into flu, into flu, into flu #FallSongs",anger
"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. ",anger
@jwolfie_ why you gotta use the dark skin emoji #offended,anger
@cameronNewton #colinkaepernick protests because of the unjust murder of #keithlamontscott in North Carolina #injustice  #speakout,anger
ICQ is just making me mad!!!😤 #icq ,anger
@realDonaldTrump: No sense in taking out your wrath on innocent people because you think police shot an innocent man. #MakeAmericaSafeAgain,anger
Get to work and there's a fire drill. #fire  #outthere #inthedark,anger
"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an ",anger
Boycotting @DunkinDonuts till butter pecan comes back. I am furious,anger
Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating.  #smrtruinslives,anger
The war is right outside your door #rage #USAToday,anger
"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. #fuming",anger
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,anger
"Do not despise the Lord ’s #discipline, do not #resent his rebuke, because the #Lord disciplines those he loves... #Proverbs 3:11-12",anger
@_Mrs_Peel @lp_lisa @PaulRGoulden @LisaLuscious Might be the pout of a star baker tho !,anger
"@Digger_forum he's also mostly (except for the synthetic testosterone bits) male, you raging sexist!",anger
"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the #tantrums.",anger
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,anger
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger
This uber driver TRIED it with me &amp; he'll feel my wrath,anger
@ScottCarmichae1 @Murican_Stuff don't fret -- this guy is mad because when @realDonaldTrump  is elected he might have to get a real job,anger
@TrussElise Obama must be fuming.. lol,anger
@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,anger
This provocation sets off a curiosity. An entity is feeding fuel to the fire. speaking quatrains. Hmmm America needs to be vigilant now,anger
@JohnKerry can be as indignant as he wants but the world knows Obama will do nothing and Putin will just do what he wants #Aleppo #Syria,anger
"@alliex both, scrap *ll the rage instead",anger
"Probably gonna end up seriously poorly at some point soon, so tired, and go from freezing to boiling in the space of seconds",anger
Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer #angry,anger
Fuking fuming 😤,anger
Everyone is raging,anger
"@a_mxe7 hah don't speak to me or my cousin like that, mind a had the displeasure of seeing u bare faced on eh train, no a pretty sight mate",anger
@WestonKoury so leafy can roast the Pokemon go kid but not you what an outrage that just means that he is more relevant than y-I mean kisses,anger
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,anger
Now that the n word is normalized by the media? Just wow. No words for this . No. Words. For . This. Frog been boiling in the pot via media.,anger
"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying #irritation #weirdsmells",anger
@EE your website is making me feel violent rage and your upgrade options aren't helping either. #Aaaaarrrrgghhh #iwanttocancel #rage,anger
Can we get a shot of Lingys face at 1/4 time ? Pretty sure it would be more red then his hair #fuming #pretendinghesok #ruok #AFLCatsSwans,anger
@TalkTalkCare  how on earth can I send an email to you? Very annoyed customer!!! ,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger
@GriffinBowie23 @AliMcClimond sorry to #offend u griffin!!,anger
Fake people irritate me,anger
I'd pay good money to watch someone slap that pout off Candice.,anger
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen.  #loathing,anger
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES ,anger
A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,anger
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,anger
@xxmariab listen yh don't provoke me cos I'll make you cry,anger
"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5",anger
"smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you.",anger
if we let that in id be fuming poor keeping,anger
"@iamsrk what's up w the gender bias? #indignant This fancypants saddler's daughter will opt for the leather jacket, thank you very much.",anger
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2",anger
"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",anger
@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking. #Hillary #divide  #chaos,anger
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. #rage,anger
@Claymakerbigsi @toghar11 @scott_mulligan_ @BoxingFanatic_ Fucker blocked me 2 years ago over a question lol - proper holds a grudge old Joe,anger
@vladfucker69 i look rabid,anger
"@m_t_f_72 I'm not surprised, I would be fuming! 😤",anger
@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,anger
Today is gonna be terrible I can feel it,fear
@annakingradio Is that the new studio kit? I'd be terrified of pressing the wrong button and launching something dangerous! 😊,fear
Hey @NHSEngland imagine being blue lighted to hospital unable to breathe only to be dumped in a cubicle and not seen for 4 hours #horrendous,fear
#anxious don't know why ................. #worry 😶 slowly going #mad hahahahahahahahaha,fear
"Leviticus 19:14\nYou shall not curse the #deaf or put a stumbling #block before the #blind, but you shall #fear your #God: I am the [1/2]",fear
Ugh. What's wrong with me today? Feel absolutely dreadful 😓 I wonder if I'm fighting something off...? Roll on home time.,fear
horrid,fear
"@angrydwarf9 @carolinesandall It ruins my frigging night each night at 9pm. Mrs loves it, i've been early to bed for a month. #dreadful",fear
@callmekarizma I take a huge nursing school test today and I'm so nervous,fear
"The entire Universe outside our galaxy could completely disappeared over 20,000 years ago and we still wouldn't know it yet.. #terrifying",fear
"Over 4 million acres to live, there's no reason #Idaho residents should #fear #wolves. #Help prevent them from becoming #endangered again.",fear
It's such a strange juxtaposition of emotions. A sense of euphoria but a sense of out most despair.,fear
@theIeansquad @SatanHeavenly Rap is so unbearable and horrific.,fear
"@JackRuff4 They have this horrible pudding here. Butterscotch pudding on Mondays, it's dreadful. #Fringe",fear
Totally scare for this upcoming results .,fear
Worst dreams. 😥,fear
People #honk like #idiots. Culture less indisciplined #Traffic #india #backtoreality #nightmare,fear
Man I feel like crap today 😰,fear
If God had a plan he would've made already #discouraged,fear
"Blah blah blah Kyrie, IT, etc. @CJC9BOSS leaving Boston is the real news and I am #devastated! #celtics #fave  #someonegetmeajerseyteeasap",fear
"#Worry, #doubt, #fear and #despair are the enemies which slowly bring us down to the ground and turn us to dust before we die.",fear
That moment when you look back and realise you've been a #selfish #horrible #judgemental person. #FeelingAshamed,fear
@AwardsDaily Looks that way.  I don't want to see how Q is going to handle Tate murder.  #shudder,fear
@hdfcergogic yr customer care exec r unable to pull information on l&amp;t insurance #horrible #service #beware #renewal,fear
"When the lights shut off and it's my turn to settle down, my main concern...",fear
My best friends driving for the first time with me in the car #terrifying,fear
"I feel exhausted ...\nI tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! 😟💔📢\n#exist #weary #misonorotta",fear
James Clapper 'scary and disturbing'.  #25thAmendmentNow #ImpeachTrump  #terrified #nuclearcodes  #Godhelpus,fear
"Edinburgh is fucked\nThis city is a nightmare to drive 'round! 😖\nOne ways, bus lanes, cameras, feckin' trams! Who's idea was that?!",fear
@gautamravi168 @vijatta @RanaAyyub He may hv driven the bus to the terror hiding.,fear
You don't know fear until you have clogged the toilet at work and can't find the plunger. #horrifying #bathroom #FirstWorldProblems,fear
I have actually watch drugs destroy an entire family 😢Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,fear
"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open😐",fear
How shit and depressing is this weather wish I can travel the world for a living,fear
"Worst thing that's happened to you when flying? I had a 16h delay, left my phone in the terminal, and wallet on the plane #nightmare",fear
I feel intimidated,fear
"Stage 10 horror was reminiscent of Rio Oylmpics...route horror, weather horror, crash horror, abandon horrors.",fear
"Had frustration dream that left me utterly f**king furious. Plus side: so angry couldn't sleep, wrote 1500 words. Minus side: still raging!",fear
@157Gale @GatorDave_SEC I'd be thrilled if he committed but nervous the whole time until NSD. Kid being from Cali makes me nervous.,fear
"Listening to these refugee children, barely a decade old, describe the horrific acts they were forced to commit is terrifying. #DatelineSBS",fear
I'm so nervous and scared jfnsnzmz,fear
and i shouldve cut them off the moment i started hurting myself over them :o,fear
A trip to the dentist never gets any easier!! #nervous,fear
Very high bond for unrelated offense.  Cops and FBI are digging on a property. Me fears this doesn't end well for families,fear
@arunjaitley pls do the action immediately  against  terror.  Otherwise innocent  people  will die.,fear
@FFigureFBust How so? I've been thinking of getting it done and now you've given me a frighten.,fear
@MikeAndMike @Buster_ESPN if you get time.. @Orioles buyers it sellers or what are we going to do!!?! #panic,fear
'we need to do something. something must be done!!!!!'\n\nyour anxiety is amusing. nothing will be done. despair.,fear
Let's hope the ct scan gives us some answers on this lump today #nervous,fear
How sick must someone be that they wish to 'punish' someone for not being their friend?  #insecure #lonely #miserable #vengeful #RHOC,fear
@washingtonpost @silvajanes How awful!!!!!!,fear
Saw my first Larsen trap today with stressed magpie. I NEVER EVER want to see that again  #angry #distressed #wildlife,fear
"----- #phobia = irrational fear of or aversion to something. Synonyms: dread, horror, terror, dislike, distaste, aversion BUT not a crime",fear
So disappointed in myself for spending £50 on an outfit for meeting a boy #noselfcontrol #nervous,fear
"@Argos_Online customer service is dreadful, phone bill is huge and get passed from person 2 person and keep taking money off my card #idiots",fear
@del_krushnic I knw you have a temper paaa lol just chill dear don't be pissed waii or I will else worry u saaa but I'm sorry 😫,fear
That said–due to passing the 50yr mark awhile ago–I know most of the #horrific damage to the #planet won't occur before my 'natural' #death.,fear
When did it all started? All these depression &amp; anxiety shits?All these suicide thoughts?All of these bad thoughts thts hugging me at night?,fear
"Just waved daughter and her wee friend off to school, walking by themselves #sob #terrifying!",fear
@Zineeta_R @RusEmbUSA @mfa_russia The hatred and fear many russians have for anything non-russian is just sad.,fear
"#IndiaAgainstIslamists #RadicalIslam possess the danger not only2 #India ,but also 2the world .Its time 4 uprooting the source f #terrorism",fear
How has Berger King gotten away with selling absolute 💩for this many years? #terrible,fear
A few things that scare me thunder needles cats creepy dolls heights and edges #summerthunder #fears #ikitsweird,fear
@BrettKeeble I guess it never. @smartassunit #worry,fear
#Muslims  kill people then terrorism has no religion . If a #hindu kills a muslim then we are hindu terrorist #hypocrites ,fear
"So me and my mom were talking about highschool, I'm shy so she said that she thinks I'm gonna get bullied😒 #shy #me #mylife #moms #bullying",fear
"Just watching #Phoenix video for the first time. Holy fuck, this guy is seriously deranged, unhinged. Why is everyone not #terrified?",fear
The same part of roof bar (driver's side) are stolen from Grand Vitara cars. Let it be known. This is really #disheartening #brunei,fear
#depressed Today was bitter sweet watching all the kids go back to school made me really miss my babies. I'm so broke #backtoschool2017,fear
"The blackest abyss of despair, Alonzo",fear
Brown envelopes can induce panic. #posttruth,fear
work is going to kill me and 5 o'clock is nowhere near 😟,fear
I'm sorry but also...fuck you #currentfeels #anger #bpd #eupd #borderliner #mentalhealth #anxiety #depression #confused,fear
"@nextofficial placed order for nearly a grand SIX weeks ago, called yesterday, order 'missing' and no call back today! #shocking",fear
But cause I knew I could just go to the side and pass them the food...but then I was scare TOO HAHA...in the end I had no choice but to go,fear
"@LeahRemini  A 'religion' that pushes people to suicide, and punishes you for doing the right thing?? #heartbreaking",fear
Thinking about life this morning and how something is missing. — feeling restless,fear
anxiety pays off,fear
"Beware the wrath of an angry, frustrated, #agile grandma with a network. 👵🏼😡 I'm just sayin'. #objectlesson",fear
"So today was interesting, first #panic attack. Might need to do something about that.",fear
"Repeated terror attacks,no1 can define the religion of terrorists.\n1 guy arrested,Terrorists/ism got it's religion.",fear
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear
"@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.",fear
I'm shaking now.,fear
And they cover these police shootings fairly well they dont want to miss a chance to bully you,fear
@YahooCare data stolen in 2014 and only now do you tell us .,fear
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ,fear
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,fear
The terror threat level really need to be raised,fear
#panic Panic attack from fear of starting new medication,fear
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear
Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅,fear
Has anyone else had a bad experience with Poundstretcher? #nightmare firm,fear
im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,fear
